video_id,middle_frame_timestamp,x1,y1,x2,y2,action_id
-5KQ66BBWC4,1333,0.318,0.105,0.763,0.99,64
-5KQ66BBWC4,1334,0.209,0.236,0.504,0.945,64
-5KQ66BBWC4,1335,0.514,0.107,0.974,0.985,64
-5KQ66BBWC4,1336,0.299,0.15,0.831,0.956,64
-5KQ66BBWC4,1337,0.312,0.165,0.929,0.981,64
-5KQ66BBWC4,1338,0.202,0.107,0.749,0.976,64
-5KQ66BBWC4,1339,0.092,0.105,0.758,0.969,64
-5KQ66BBWC4,1339,0.597,0.12,1.0,0.979,64
-5KQ66BBWC4,1341,0.075,0.0,0.55,0.994,64
-5KQ66BBWC4,1341,0.326,0.017,0.971,1.0,64
-5KQ66BBWC4,1342,0.083,0.302,0.8,0.976,64
-5KQ66BBWC4,1617,0.368,0.078,0.97,0.974,64
-5KQ66BBWC4,1618,0.109,0.046,0.709,0.993,64
-5KQ66BBWC4,1618,0.641,0.168,0.997,0.99,64
-5KQ66BBWC4,1619,0.619,0.203,1.0,1.0,64
-5KQ66BBWC4,1620,0.072,0.02,0.982,0.989,64
-5KQ66BBWC4,1621,0.073,0.021,0.684,0.986,64
-5KQ66BBWC4,1623,0.068,0.407,0.532,1.0,64
-5KQ66BBWC4,1623,0.678,0.137,0.999,0.976,64
-5KQ66BBWC4,1624,0.293,0.112,0.961,0.982,64
-5KQ66BBWC4,1625,0.182,0.11,1.0,1.0,64
-5KQ66BBWC4,1625,0.182,0.11,1.0,1.0,76
-5KQ66BBWC4,1626,0.418,0.169,0.951,1.0,64
-5KQ66BBWC4,1631,0.495,0.037,0.696,0.966,64
-5KQ66BBWC4,1632,0.339,0.245,0.557,0.928,64
-5KQ66BBWC4,1632,0.529,0.081,0.74,0.981,64
-5KQ66BBWC4,1633,0.601,0.103,0.944,0.969,64
-5KQ66BBWC4,1634,0.327,0.124,0.59,0.964,64
-5KQ66BBWC4,1635,0.764,0.217,0.994,0.926,64
-5KQ66BBWC4,1636,0.226,0.169,0.46,0.982,64
-5KQ66BBWC4,1636,0.381,0.077,0.713,0.963,64
-5KQ66BBWC4,1637,0.265,0.168,0.585,0.973,64
-5KQ66BBWC4,1638,0.375,0.168,0.636,0.972,64
-5KQ66BBWC4,1638,0.754,0.196,0.984,0.909,64
-5KQ66BBWC4,1639,0.162,0.091,0.56,0.977,64
-5KQ66BBWC4,1639,0.532,0.221,0.881,0.962,64
-FaXLcSFjUI,1391,0.141,0.388,0.552,1.0,66
-FaXLcSFjUI,1391,0.367,0.19,0.94,0.966,66
-FaXLcSFjUI,1394,0.068,0.307,0.519,0.996,66
-FaXLcSFjUI,1398,0.165,0.26,0.611,0.684,66
-FaXLcSFjUI,1748,0.235,0.134,0.688,0.949,66
-FaXLcSFjUI,1754,0.409,0.097,0.707,0.71,66
-FaXLcSFjUI,1775,0.322,0.099,0.757,0.965,66
-IELREHX_js,910,0.025,0.011,0.33,0.943,66
-IELREHX_js,1096,0.694,0.089,0.875,0.658,66
-IELREHX_js,1104,0.572,0.19,0.774,0.807,66
-IELREHX_js,1328,0.326,0.037,0.941,0.978,66
-IELREHX_js,1332,0.06,0.025,0.584,0.996,66
-IELREHX_js,1490,0.251,0.066,0.776,0.952,76
-IELREHX_js,1525,0.053,0.062,0.734,0.989,64
-IELREHX_js,1526,0.054,0.032,0.598,0.979,64
-IELREHX_js,1526,0.054,0.032,0.598,0.979,66
-IELREHX_js,1527,0.072,0.086,0.94,0.956,64
-IELREHX_js,1539,0.036,0.014,0.638,1.0,64
-IELREHX_js,1540,0.338,0.062,0.813,0.995,64
-IELREHX_js,1543,0.154,0.005,0.689,0.993,64
-IELREHX_js,1543,0.154,0.005,0.689,0.993,76
-IELREHX_js,1547,0.419,0.032,0.97,0.99,64
-IELREHX_js,1549,0.321,0.178,0.786,0.999,64
-IELREHX_js,1550,0.383,0.037,0.975,0.986,64
-IELREHX_js,1553,0.304,0.084,0.807,1.0,64
-IELREHX_js,1554,0.096,0.0,0.798,1.0,64
-IELREHX_js,1682,0.48,0.493,0.573,0.958,64
-IELREHX_js,1683,0.56,0.474,0.655,0.951,64
-IELREHX_js,1683,0.56,0.474,0.655,0.951,66
-IELREHX_js,1711,0.036,0.144,0.285,0.934,66
-OyDO1g74vc,1609,0.425,0.037,0.982,0.992,76
-OyDO1g74vc,1610,0.323,0.026,0.991,0.977,76
-XpUuIgyUHE,1024,0.12,0.424,0.535,0.963,66
-XpUuIgyUHE,1028,0.14,0.405,0.6,0.963,66
-XpUuIgyUHE,1029,0.149,0.426,0.614,0.964,66
-XpUuIgyUHE,1110,0.003,0.027,0.457,0.927,66
-XpUuIgyUHE,1449,0.049,0.064,0.992,0.929,66
-XpUuIgyUHE,1456,0.489,0.038,0.975,0.948,66
-XpUuIgyUHE,1725,0.376,0.038,0.976,0.967,66
-ZFgsrolSxo,1536,0.123,0.0,0.778,0.999,66
-ZFgsrolSxo,1539,0.155,0.002,0.658,0.932,64
-ZFgsrolSxo,1619,0.126,0.0,0.952,0.96,76
-ZFgsrolSxo,1680,0.128,0.176,0.562,0.993,64
-ZFgsrolSxo,1682,0.066,0.016,0.865,0.981,64
-ZFgsrolSxo,1683,0.181,0.015,0.879,1.0,64
-ZFgsrolSxo,1696,0.168,0.105,0.851,1.0,76
-ZFgsrolSxo,1709,0.17,0.09,0.613,0.963,76
053oq2xB3oU,1160,0.362,0.273,0.694,0.79,66
053oq2xB3oU,1268,0.597,0.368,0.818,0.773,66
053oq2xB3oU,1269,0.299,0.124,0.904,0.861,66
053oq2xB3oU,1282,0.603,0.256,0.936,0.847,66
053oq2xB3oU,1284,0.551,0.275,0.791,0.859,66
053oq2xB3oU,1285,0.344,0.219,0.726,0.823,76
053oq2xB3oU,1285,0.559,0.246,0.799,0.717,66
053oq2xB3oU,1286,0.567,0.214,0.743,0.828,66
053oq2xB3oU,1287,0.566,0.196,0.797,0.856,66
053oq2xB3oU,1288,0.368,0.207,0.546,0.799,66
053oq2xB3oU,1289,0.328,0.228,0.536,0.855,66
053oq2xB3oU,1290,0.329,0.214,0.534,0.838,66
053oq2xB3oU,1291,0.326,0.22,0.532,0.857,66
053oq2xB3oU,1297,0.44,0.218,0.741,0.832,66
053oq2xB3oU,1298,0.252,0.205,0.614,0.836,66
053oq2xB3oU,1301,0.488,0.259,0.75,0.85,66
053oq2xB3oU,1304,0.414,0.232,0.726,0.862,66
053oq2xB3oU,1305,0.256,0.155,0.522,0.857,64
053oq2xB3oU,1310,0.289,0.183,0.661,0.87,76
053oq2xB3oU,1311,0.46,0.169,0.744,0.862,76
053oq2xB3oU,1312,0.359,0.231,0.663,0.826,76
053oq2xB3oU,1313,0.33,0.214,0.771,0.863,66
053oq2xB3oU,1313,0.33,0.214,0.771,0.863,76
053oq2xB3oU,1370,0.012,0.193,0.49,0.883,66
053oq2xB3oU,1416,0.504,0.194,0.982,0.894,66
053oq2xB3oU,1478,0.556,0.222,0.75,0.865,66
053oq2xB3oU,1485,0.637,0.163,0.955,0.858,66
053oq2xB3oU,1486,0.35,0.25,0.752,0.865,66
053oq2xB3oU,1487,0.436,0.142,0.884,0.855,66
053oq2xB3oU,1635,0.071,0.155,0.478,0.891,66
0f39OWEqJ24,993,0.314,0.264,0.469,0.766,66
0f39OWEqJ24,997,0.28,0.259,0.44,0.686,66
0f39OWEqJ24,1005,0.217,0.104,0.711,0.972,66
0f39OWEqJ24,1009,0.035,0.103,0.514,0.995,76
0f39OWEqJ24,1053,0.1,0.196,0.524,0.996,64
0f39OWEqJ24,1054,0.192,0.288,0.532,0.993,64
0f39OWEqJ24,1056,0.513,0.307,0.686,0.965,64
0f39OWEqJ24,1056,0.549,0.177,0.924,0.978,64
0f39OWEqJ24,1057,0.359,0.277,0.558,0.985,64
0f39OWEqJ24,1057,0.359,0.277,0.558,0.985,76
0f39OWEqJ24,1064,0.282,0.281,0.886,0.984,64
0f39OWEqJ24,1064,0.563,0.195,0.871,0.985,66
0f39OWEqJ24,1072,0.307,0.097,0.687,0.986,66
0f39OWEqJ24,1076,0.27,0.14,0.901,0.988,64
0f39OWEqJ24,1077,0.321,0.069,0.962,0.988,64
0f39OWEqJ24,1078,0.391,0.16,0.983,0.98,64
0f39OWEqJ24,1085,0.243,0.274,0.517,0.74,64
0f39OWEqJ24,1086,0.042,0.061,1.0,0.974,64
0f39OWEqJ24,1087,0.04,0.051,0.969,0.984,64
0f39OWEqJ24,1091,0.006,0.204,0.829,0.767,64
0f39OWEqJ24,1093,0.027,0.09,0.61,1.0,64
0f39OWEqJ24,1093,0.587,0.296,0.911,0.989,64
0f39OWEqJ24,1094,0.394,0.078,0.847,0.888,64
0f39OWEqJ24,1095,0.625,0.261,0.995,0.981,64
0f39OWEqJ24,1096,0.076,0.068,0.885,0.999,64
0f39OWEqJ24,1099,0.15,0.134,0.575,0.954,64
0f39OWEqJ24,1099,0.587,0.262,0.994,0.996,64
0f39OWEqJ24,1100,0.734,0.198,0.994,0.981,64
0f39OWEqJ24,1100,0.734,0.198,0.994,0.981,71
0f39OWEqJ24,1101,0.65,0.159,0.979,0.973,64
0f39OWEqJ24,1105,0.301,0.11,0.931,0.989,64
0f39OWEqJ24,1108,0.137,0.078,0.932,0.954,64
0f39OWEqJ24,1554,0.039,0.028,1.0,0.983,66
0f39OWEqJ24,1561,0.402,0.016,1.0,0.995,66
0f39OWEqJ24,1562,0.452,0.019,1.0,0.981,66
0f39OWEqJ24,1579,0.008,0.034,0.661,0.978,66
0f39OWEqJ24,1585,0.51,0.106,0.996,0.991,66
0f39OWEqJ24,1586,0.477,0.154,0.992,0.998,66
0f39OWEqJ24,1791,0.555,0.256,0.826,1.0,64
0f39OWEqJ24,1792,0.459,0.272,0.761,0.99,64
0f39OWEqJ24,1794,0.457,0.167,0.69,0.989,64
0f39OWEqJ24,1796,0.51,0.179,0.771,0.986,66
0wBYFahr3uI,1579,0.441,0.261,0.596,0.868,66
1ReZIMmD_8E,1112,0.284,0.119,0.56,0.968,64
1ReZIMmD_8E,1143,0.294,0.483,0.396,0.751,64
1ReZIMmD_8E,1143,0.335,0.489,0.642,0.999,64
1ReZIMmD_8E,1144,0.307,0.422,0.518,0.995,64
1ReZIMmD_8E,1145,0.327,0.509,0.496,0.999,64
1ReZIMmD_8E,1156,0.351,0.275,0.671,0.997,64
1ReZIMmD_8E,1156,0.625,0.252,0.987,0.828,64
1ReZIMmD_8E,1157,0.643,0.191,0.988,0.988,64
1ReZIMmD_8E,1379,0.64,0.231,0.988,1.0,66
1ReZIMmD_8E,1787,0.41,0.218,0.653,0.986,66
26V9UzqSguo,1163,0.469,0.288,0.633,0.971,66
26V9UzqSguo,1497,0.444,0.279,0.635,0.82,66
26V9UzqSguo,1583,0.382,0.539,0.497,0.739,64
26V9UzqSguo,1584,0.76,0.626,0.866,0.842,64
26V9UzqSguo,1603,0.056,0.408,0.243,0.629,64
26V9UzqSguo,1604,0.03,0.469,0.293,0.871,64
26V9UzqSguo,1604,0.388,0.34,0.647,0.677,64
26V9UzqSguo,1605,0.135,0.357,0.54,0.992,64
26V9UzqSguo,1607,0.417,0.365,0.813,0.701,64
26V9UzqSguo,1682,0.146,0.239,0.421,0.83,64
26V9UzqSguo,1685,0.275,0.294,0.579,0.936,64
26V9UzqSguo,1688,0.127,0.22,0.335,0.604,64
26V9UzqSguo,1689,0.041,0.131,0.504,1.0,64
26V9UzqSguo,1692,0.266,0.251,0.565,0.719,64
26V9UzqSguo,1694,0.469,0.245,0.635,0.749,64
26V9UzqSguo,1694,0.587,0.234,0.897,0.824,64
26V9UzqSguo,1695,0.297,0.078,0.956,0.952,64
2DUITARAsWQ,1341,0.225,0.631,0.355,0.919,76
2DUITARAsWQ,1342,0.567,0.578,0.74,0.919,66
2DUITARAsWQ,1344,0.508,0.735,0.649,0.933,66
2DUITARAsWQ,1345,0.024,0.574,0.339,0.999,66
2DUITARAsWQ,1346,0.025,0.558,0.348,0.996,66
2DUITARAsWQ,1347,0.032,0.589,0.372,0.996,66
2DUITARAsWQ,1348,0.021,0.555,0.348,0.994,66
2DUITARAsWQ,1349,0.027,0.617,0.357,0.992,66
2DUITARAsWQ,1350,0.099,0.649,0.404,0.989,66
2DUITARAsWQ,1351,0.054,0.637,0.342,0.989,66
2DUITARAsWQ,1352,0.075,0.579,0.412,0.992,66
2DUITARAsWQ,1353,0.046,0.59,0.382,0.991,66
2DUITARAsWQ,1353,0.321,0.173,0.651,0.971,71
2DUITARAsWQ,1354,0.096,0.62,0.406,0.991,66
2DUITARAsWQ,1355,0.066,0.665,0.424,0.991,66
2DUITARAsWQ,1361,0.066,0.551,0.356,0.996,66
2DUITARAsWQ,1362,0.054,0.554,0.348,1.0,66
2DUITARAsWQ,1363,0.062,0.558,0.376,0.998,66
2DUITARAsWQ,1364,0.074,0.56,0.375,0.999,66
2DUITARAsWQ,1369,0.054,0.576,0.375,0.997,66
2DUITARAsWQ,1370,0.054,0.601,0.377,1.0,66
2DUITARAsWQ,1371,0.052,0.58,0.377,0.998,66
2DUITARAsWQ,1372,0.055,0.578,0.376,0.994,66
2DUITARAsWQ,1373,0.053,0.55,0.371,1.0,66
2DUITARAsWQ,1377,0.053,0.551,0.372,0.997,66
2DUITARAsWQ,1378,0.054,0.55,0.369,0.997,66
2DUITARAsWQ,1379,0.05,0.559,0.372,0.994,66
2DUITARAsWQ,1380,0.059,0.551,0.37,0.996,66
2DUITARAsWQ,1395,0.178,0.022,1.0,1.0,66
2DUITARAsWQ,1396,0.032,0.0,0.891,0.981,66
2DUITARAsWQ,1397,0.23,0.029,1.0,0.994,66
2DUITARAsWQ,1484,0.035,0.455,0.618,1.0,66
2DUITARAsWQ,1485,0.005,0.38,0.502,0.983,66
2DUITARAsWQ,1491,0.002,0.032,0.588,0.983,66
2DUITARAsWQ,1600,0.406,0.249,0.549,0.925,66
2DUITARAsWQ,1664,0.427,0.182,0.931,0.949,66
2E_e8JlvTlg,1333,0.156,0.27,0.251,0.612,66
2E_e8JlvTlg,1468,0.48,0.473,0.745,0.957,76
2FIHxnZKg6A,1001,0.179,0.235,0.505,0.859,66
2FIHxnZKg6A,1173,0.051,0.277,0.857,0.865,66
2KpThOF_QmE,1123,0.153,0.081,0.428,0.94,64
2KpThOF_QmE,1519,0.54,0.017,0.776,0.974,66
2KpThOF_QmE,1520,0.452,0.092,0.795,0.989,66
2KpThOF_QmE,1599,0.314,0.062,1.0,0.956,64
2bxKkUgcqpk,997,0.0,0.021,0.933,0.985,64
2bxKkUgcqpk,1188,0.16,0.233,0.647,0.971,66
2bxKkUgcqpk,1647,0.429,0.077,0.638,0.947,66
2bxKkUgcqpk,1647,0.482,0.094,0.991,0.965,66
2bxKkUgcqpk,1648,0.108,0.41,0.525,0.988,66
2bxKkUgcqpk,1648,0.321,0.017,0.622,0.705,66
2bxKkUgcqpk,1648,0.392,0.066,0.96,0.986,66
2bxKkUgcqpk,1649,0.297,0.104,0.454,0.409,66
2bxKkUgcqpk,1649,0.297,0.104,0.454,0.409,76
2bxKkUgcqpk,1650,0.254,0.225,0.451,0.989,66
2bxKkUgcqpk,1650,0.269,0.048,0.435,0.439,76
2bxKkUgcqpk,1651,0.25,0.009,0.479,0.417,66
2bxKkUgcqpk,1741,0.419,0.337,0.546,0.712,76
2bxKkUgcqpk,1741,0.566,0.333,0.671,0.717,76
2bxKkUgcqpk,1746,0.465,0.363,0.581,0.751,76
2bxKkUgcqpk,1746,0.633,0.385,0.732,0.772,76
2bxKkUgcqpk,1750,0.617,0.322,0.754,0.846,76
2bxKkUgcqpk,1753,0.401,0.261,0.576,0.763,76
2bxKkUgcqpk,1756,0.456,0.474,0.662,0.776,66
2bxKkUgcqpk,1786,0.3,0.283,0.47,0.915,76
2bxKkUgcqpk,1789,0.608,0.06,0.922,0.891,76
2bxKkUgcqpk,1795,0.5,0.163,0.792,0.992,76
2fwni_Kjf2M,1005,0.48,0.187,0.838,0.977,66
2fwni_Kjf2M,1119,0.362,0.059,0.572,0.43,66
2fwni_Kjf2M,1120,0.473,0.065,0.685,1.0,66
2fwni_Kjf2M,1123,0.312,0.246,0.457,0.99,66
2fwni_Kjf2M,1126,0.463,0.219,0.569,0.913,66
2fwni_Kjf2M,1127,0.461,0.254,0.569,0.939,66
2fwni_Kjf2M,1128,0.368,0.24,0.478,0.935,76
2fwni_Kjf2M,1129,0.419,0.242,0.535,0.944,76
2fwni_Kjf2M,1130,0.416,0.265,0.571,0.927,76
2fwni_Kjf2M,1599,0.088,0.046,0.572,0.966,66
2qQs3Y9OJX0,1180,0.37,0.322,0.49,0.633,66
2qQs3Y9OJX0,1276,0.538,0.18,0.749,0.568,66
2qQs3Y9OJX0,1277,0.4,0.233,0.653,0.752,66
32HR3MnDZ8g,968,0.155,0.204,0.61,1.0,66
32HR3MnDZ8g,968,0.47,0.011,1.0,0.987,66
32HR3MnDZ8g,974,0.154,0.194,0.619,1.0,66
32HR3MnDZ8g,974,0.527,0.059,1.0,0.972,66
32HR3MnDZ8g,975,0.096,0.192,0.589,0.982,66
32HR3MnDZ8g,979,0.503,0.033,1.0,0.978,66
32HR3MnDZ8g,980,0.527,0.039,1.0,0.971,66
32HR3MnDZ8g,981,0.511,0.049,0.998,0.968,66
32HR3MnDZ8g,983,0.554,0.037,1.0,0.961,66
32HR3MnDZ8g,1173,0.116,0.125,0.478,0.988,76
32HR3MnDZ8g,1200,0.131,0.15,0.873,0.983,66
32HR3MnDZ8g,1665,0.127,0.367,0.644,1.0,66
32HR3MnDZ8g,1666,0.127,0.353,0.625,0.995,66
3IOE-Q3UWdA,1058,0.409,0.073,0.593,0.919,66
3IOE-Q3UWdA,1059,0.38,0.076,0.592,0.932,66
3IOE-Q3UWdA,1060,0.316,0.303,0.633,0.901,66
3IOE-Q3UWdA,1061,0.397,0.161,0.658,0.802,64
3IOE-Q3UWdA,1062,0.397,0.202,0.649,0.796,66
3IOE-Q3UWdA,1091,0.215,0.151,0.742,0.977,66
3IOE-Q3UWdA,1102,0.113,0.005,0.75,0.987,66
3IOE-Q3UWdA,1103,0.031,0.06,0.824,0.947,66
3IOE-Q3UWdA,1104,0.04,0.022,0.686,0.957,66
3IOE-Q3UWdA,1105,0.083,0.03,0.785,0.974,66
3IOE-Q3UWdA,1106,0.074,0.162,0.712,0.964,64
3IOE-Q3UWdA,1113,0.263,0.211,0.794,0.971,76
3IOE-Q3UWdA,1116,0.208,0.217,0.461,0.938,64
3IOE-Q3UWdA,1118,0.52,0.164,0.659,0.834,64
3IOE-Q3UWdA,1118,0.52,0.164,0.659,0.834,66
3IOE-Q3UWdA,1119,0.407,0.187,0.585,0.813,66
3IOE-Q3UWdA,1120,0.474,0.056,0.676,0.967,66
3IOE-Q3UWdA,1121,0.439,0.045,0.613,0.897,64
3IOE-Q3UWdA,1121,0.439,0.045,0.613,0.897,66
3IOE-Q3UWdA,1122,0.453,0.127,0.683,0.882,64
3IOE-Q3UWdA,1122,0.453,0.127,0.683,0.882,66
3IOE-Q3UWdA,1123,0.462,0.066,0.667,0.983,66
3IOE-Q3UWdA,1126,0.371,0.122,0.686,0.991,66
3IOE-Q3UWdA,1128,0.318,0.072,0.532,0.77,64
3IOE-Q3UWdA,1128,0.318,0.072,0.532,0.77,66
3IOE-Q3UWdA,1129,0.314,0.044,0.517,0.725,64
3IOE-Q3UWdA,1129,0.314,0.044,0.517,0.725,66
3IOE-Q3UWdA,1130,0.376,0.055,0.538,0.712,64
3IOE-Q3UWdA,1130,0.376,0.055,0.538,0.712,66
3IOE-Q3UWdA,1132,0.186,0.03,0.369,0.71,64
3IOE-Q3UWdA,1133,0.25,0.126,0.721,0.818,64
3IOE-Q3UWdA,1134,0.516,0.115,0.757,0.722,64
3IOE-Q3UWdA,1150,0.5,0.331,0.704,0.603,64
3IOE-Q3UWdA,1155,0.643,0.355,0.735,0.589,64
3IOE-Q3UWdA,1155,0.684,0.307,0.823,0.639,64
3IOE-Q3UWdA,1186,0.642,0.062,0.921,0.944,64
3IOE-Q3UWdA,1196,0.174,0.083,0.832,0.985,66
3IOE-Q3UWdA,1196,0.174,0.083,0.832,0.985,76
3IOE-Q3UWdA,1198,0.055,0.033,0.569,0.984,66
3IOE-Q3UWdA,1199,0.059,0.017,0.548,0.945,66
3IOE-Q3UWdA,1200,0.038,0.044,0.524,0.937,66
3IOE-Q3UWdA,1202,0.49,0.169,0.86,0.986,66
3IOE-Q3UWdA,1203,0.257,0.143,0.687,0.967,66
3IOE-Q3UWdA,1204,0.544,0.02,0.951,0.559,76
3IOE-Q3UWdA,1208,0.027,0.0,0.893,0.981,66
3IOE-Q3UWdA,1212,0.021,0.0,0.523,0.97,66
3IOE-Q3UWdA,1215,0.166,0.097,0.62,0.911,66
3IOE-Q3UWdA,1216,0.201,0.117,0.591,0.792,66
3IOE-Q3UWdA,1223,0.414,0.188,0.689,0.567,66
3IOE-Q3UWdA,1226,0.309,0.066,0.506,0.378,71
3IOE-Q3UWdA,1287,0.562,0.351,0.682,0.631,66
3IOE-Q3UWdA,1288,0.674,0.353,0.76,0.625,66
3IOE-Q3UWdA,1291,0.252,0.097,0.982,0.968,66
3IOE-Q3UWdA,1298,0.401,0.238,0.602,0.834,64
3IOE-Q3UWdA,1299,0.456,0.208,0.637,0.79,76
3IOE-Q3UWdA,1304,0.449,0.108,0.739,0.849,64
3IOE-Q3UWdA,1305,0.475,0.164,0.713,0.87,64
3IOE-Q3UWdA,1306,0.529,0.155,0.763,0.862,64
3IOE-Q3UWdA,1307,0.542,0.232,0.768,0.884,64
3IOE-Q3UWdA,1313,0.463,0.187,0.956,0.989,64
3IOE-Q3UWdA,1315,0.658,0.193,0.99,0.967,66
3IOE-Q3UWdA,1318,0.57,0.04,1.0,0.951,64
3IOE-Q3UWdA,1338,0.543,0.185,0.876,0.974,64
3IOE-Q3UWdA,1338,0.543,0.185,0.876,0.974,66
3IOE-Q3UWdA,1339,0.594,0.134,0.971,0.995,64
3IOE-Q3UWdA,1339,0.594,0.134,0.971,0.995,76
3IOE-Q3UWdA,1340,0.636,0.142,0.833,0.793,64
3IOE-Q3UWdA,1342,0.574,0.152,0.759,0.827,64
3IOE-Q3UWdA,1343,0.502,0.11,0.748,0.892,64
3IOE-Q3UWdA,1344,0.057,0.431,0.424,0.983,64
3IOE-Q3UWdA,1344,0.161,0.205,0.746,0.991,64
3IOE-Q3UWdA,1345,0.044,0.446,0.499,0.988,64
3IOE-Q3UWdA,1345,0.352,0.196,0.937,0.951,64
3IOE-Q3UWdA,1346,0.205,0.0,0.954,0.968,64
3IOE-Q3UWdA,1423,0.564,0.303,0.778,0.759,64
3IOE-Q3UWdA,1436,0.045,0.078,0.681,0.971,64
3IOE-Q3UWdA,1437,0.035,0.007,0.633,0.994,64
3IOE-Q3UWdA,1442,0.026,0.084,0.974,0.985,64
3IOE-Q3UWdA,1444,0.352,0.035,1.0,0.961,64
3IOE-Q3UWdA,1447,0.116,0.034,0.92,0.978,64
3IOE-Q3UWdA,1451,0.049,0.12,0.76,0.987,64
3IOE-Q3UWdA,1452,0.2,0.009,0.963,0.96,64
3IOE-Q3UWdA,1454,0.157,0.0,0.994,0.985,64
4Y5qi1gD2Sw,1299,0.119,0.107,0.736,0.891,66
4Y5qi1gD2Sw,1785,0.212,0.2,0.362,0.897,66
4Y5qi1gD2Sw,1785,0.468,0.231,0.616,0.895,66
4Y5qi1gD2Sw,1786,0.257,0.175,0.407,0.887,66
4Y5qi1gD2Sw,1786,0.454,0.168,0.578,0.899,66
4Y5qi1gD2Sw,1787,0.262,0.109,0.392,0.888,66
4Y5qi1gD2Sw,1787,0.45,0.131,0.561,0.889,66
4Y5qi1gD2Sw,1788,0.286,0.137,0.38,0.82,66
4Y5qi1gD2Sw,1788,0.448,0.145,0.591,0.885,66
4Y5qi1gD2Sw,1792,0.354,0.17,0.547,0.897,66
4Y5qi1gD2Sw,1793,0.354,0.116,0.469,0.869,66
4ZpjKfu6Cl8,1370,0.083,0.021,0.186,0.98,66
